Truck Number,Claim Number,Scale Claim Cost,Scale Labor Cost
Truck 4208,Claim 1,Very Low,Very Low
Truck 22899,Claim 2,Very Low,Very Low
Truck 22899,Claim 3,Very Low,Very Low
Truck 9983,Claim 4,Very Low,Very Low
Truck 2426,Claim 5,Very Low,Very Low
Truck 26755,Claim 6,Very Low,Very Low
Truck 19203,Claim 7,Very Low,Very Low
Truck 41689,Claim 8,Very Low,Very Low
Truck 2515,Claim 9,Very Low,Very Low
Truck 2522,Claim 10,Very Low,Very Low
Truck 2328,Claim 11,Very Low,Very Low
Truck 435,Claim 12,Very Low,Very Low
Truck 41337,Claim 13,Very Low,Very Low
Truck 41298,Claim 14,Very Low,Very Low
Truck 32767,Claim 15,Very Low,Very Low
Truck 32907,Claim 16,Very Low,Very Low
Truck 45625,Claim 17,Very Low,Very Low
Truck 20717,Claim 18,Very Low,Very Low
Truck 38970,Claim 19,Very Low,Very Low
Truck 12830,Claim 20,Very Low,Very Low
Truck 39142,Claim 21,Very Low,Very Low
Truck 45625,Claim 22,Very Low,Very Low
Truck 46164,Claim 23,Very Low,Very Low
Truck 46158,Claim 24,Very Low,Very Low
Truck 45530,Claim 25,Very Low,Very Low
Truck 45520,Claim 26,Very Low,Very Low
Truck 45602,Claim 27,Very Low,Very Low
Truck 45639,Claim 28,Very Low,Very Low
Truck 45641,Claim 29,Very Low,Very Low
Truck 45524,Claim 30,Very Low,Very Low
Truck 45626,Claim 31,Very Low,Very Low
Truck 45635,Claim 32,Very Low,Very Low
Truck 45560,Claim 33,Very Low,Very Low
Truck 45578,Claim 34,Very Low,Very Low
Truck 45620,Claim 35,Very Low,Very Low
Truck 45632,Claim 36,Very Low,Very Low
Truck 45603,Claim 37,Very Low,Very Low
Truck 45543,Claim 38,Very Low,Very Low
Truck 45596,Claim 39,Very Low,Very Low
Truck 45613,Claim 40,Very Low,Very Low
Truck 23845,Claim 41,Very Low,Very Low
Truck 21123,Claim 42,Very Low,Very Low
Truck 13921,Claim 43,Very Low,Very Low
Truck 32814,Claim 44,Very Low,Very Low
Truck 25049,Claim 45,Very Low,Very Low
Truck 9391,Claim 46,Very Low,Very Low
Truck 10145,Claim 47,Very Low,Very Low
Truck 21440,Claim 48,Very Low,Very Low
Truck 37640,Claim 49,Very Low,Very Low
Truck 2032,Claim 50,Very Low,Very Low
Truck 25182,Claim 51,Very Low,Very Low
