Truck,Style,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294
Truck 2,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295
Truck 3,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295
Truck 4,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295
Truck 5,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295
Truck 6,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295
Truck 7,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295
Truck 8,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295
Truck 9,Style 1,Option 4,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294
Truck 11,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294
Truck 12,Style 1,Option 5,Option 84,Option 182,Option 208,Option 265,Option 282,Option 291,Option 295
Truck 13,Style 1,Option 5,Option 84,Option 182,Option 208,Option 265,Option 282,Option 291,Option 295
Truck 14,Style 1,Option 5,Option 84,Option 182,Option 208,Option 265,Option 282,Option 291,Option 295
Truck 15,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295
Truck 16,Style 1,Option 6,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295
Truck 17,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295
Truck 18,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295
Truck 19,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295
Truck 20,Style 1,Option 7,Option 84,Option 182,Option 208,Option 266,Option283,Option 291,Option 295
Truck 21,Style 1,Option 4,Option 85,Option 181,Option 209,Option 265,Option 282,Option 291,Option 295
Truck 22,Style 1,Option 3,Option 84,Option 181,Option 208,Option 265,Option283,Option 291,Option 295
