Truck Number,Style,Attribute 1,Attribute 2,Attribute 3,Attribute 4,Attribute 5,Attribute 6,Attribute 7,Attribute 8,Claim Number,Scale Claim Cost,Scale Labor Cost,claim_flag
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 13675,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 18104,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 20261,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 21530,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 21693,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 28854,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 29803,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 32768,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 85291,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 92414,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 117493,0.0,0.0,0
Truck 1,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 123346,0.0,0.0,0
Truck 2,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295,Claim 80173,0.0,0.0,0
Truck 2,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295,Claim 93731,0.0,0.0,0
Truck 3,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295,,0.0,0.0,0
Truck 4,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295,Claim 34652,0.0,0.0,0
Truck 4,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295,Claim 73132,0.0,0.0,0
Truck 5,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295,Claim 18219,0.0,0.0,0
Truck 5,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295,Claim 77438,0.0,0.0,0
Truck 6,Style 1,Option 2,Option 84,Option 181,Option 205,Option 265,Option 282,Option 291,Option 295,,0.0,0.0,0
Truck 7,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,,0.0,0.0,0
Truck 8,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 46201,0.0,0.0,0
Truck 8,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 75680,0.0,0.0,0
Truck 8,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 77219,0.0,0.0,0
Truck 8,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 90977,0.0,0.0,0
Truck 8,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 111266,0.0,0.0,0
Truck 8,Style 1,Option 3,Option 84,Option 182,Option 206,Option 266,Option283,Option 291,Option 295,Claim 112925,0.0,0.0,0
Truck 9,Style 1,Option 4,Option 85,Option 181,Option 207,Option 265,Option 282,Option 291,Option 295,,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 658,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 2922,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 2991,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 20105,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 44540,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 60289,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 111325,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 123084,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 123316,0.0,0.0,0
Truck 10,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 123359,0.0,0.0,0
Truck 11,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 2920,0.0,0.0,0
Truck 11,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 20713,0.0,0.0,0
Truck 11,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 21965,0.0,0.0,0
Truck 11,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 34207,0.0,0.0,0
Truck 11,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 58323,0.0,0.0,0
Truck 11,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 92684,0.0,0.0,0
Truck 11,Style 1,Option 1,Option 83,Option 181,Option 204,Option 264,Option 281,Option 290,Option 294,Claim 121665,0.0,0.0,0
